[161/10000] loss=0.2986297834494641 loss_test=0.35955687144186205 acc=0.8691
[162/10000] loss=0.29860443018602917 loss_test=0.3595357692429558 acc=0.8691
[163/10000] loss=0.2985791482445651 loss_test=0.3595147634315025 acc=0.8691
[164/10000] loss=0.2985539468487552 loss_test=0.3594938521217211 acc=0.8691
[165/10000] loss=0.29852883768799465 loss_test=0.3594729952440562 acc=0.8691
[166/10000] loss=0.2985037676247848 loss_test=0.35945223304918106 acc=0.8692
[167/10000] loss=0.29847881640108065 loss_test=0.3594315178593848 acc=0.8693
[168/10000] loss=0.29845391679803224 loss_test=0.3594108742910626 acc=0.8693
[169/10000] loss=0.29842910191056443 loss_test=0.35939030528470406 acc=0.8692
[170/10000] loss=0.29840432267578193 loss_test=0.3593698232362183 acc=0.8692
[171/10000] loss=0.29837965316469633 loss_test=0.35934941335116183 acc=0.8692
[172/10000] loss=0.2983550267357623 loss_test=0.3593290476144053 acc=0.8693
[173/10000] loss=0.29833043638263196 loss_test=0.35930873493032794 acc=0.8693
[174/10000] loss=0.29830594461094456 loss_test=0.3592884734573365 acc=0.8693
[175/10000] loss=0.29828150991002583 loss_test=0.3592682518621231 acc=0.8694
[176/10000] loss=0.2982571553576207 loss_test=0.3592480877076005 acc=0.8694
[177/10000] loss=0.2982328571485188 loss_test=0.35922797499644393 acc=0.8693
[178/10000] loss=0.29820862257407005 loss_test=0.3592079358580835 acc=0.8693
[179/10000] loss=0.29818447648860535 loss_test=0.35918792518849096 acc=0.8694
[180/10000] loss=0.29816037441569593 loss_test=0.35916794791642487 acc=0.8695
[181/10000] loss=0.298136347694131 loss_test=0.3591480291939574 acc=0.8696
[182/10000] loss=0.2981124274825112 loss_test=0.35912818879678693 acc=0.8695
[183/10000] loss=0.2980885658122461 loss_test=0.35910838555577784 acc=0.8695
[184/10000] loss=0.2980647937075349 loss_test=0.359088653627551 acc=0.8695
[185/10000] loss=0.2980410774812134 loss_test=0.35906897197245385 acc=0.8695
[186/10000] loss=0.2980174057570767 loss_test=0.35904935811802013 acc=0.8695
[187/10000] loss=0.2979938163249602 loss_test=0.35902979804630414 acc=0.8696
[188/10000] loss=0.2979703012753579 loss_test=0.3590102927324896 acc=0.8696
[189/10000] loss=0.2979468126630375 loss_test=0.3589908213616049 acc=0.8696
